Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax_five_per,Total,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7.00,26.1415,548.9715,01-05-19,13:08,Ewallet,522.83,4.7619,26.1415,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5.00,3.8200,80.2200,03-08-19,10:29,Cash,76.40,4.7619,3.8200,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7.00,16.2155,340.5255,03-03-19,13:23,Credit card,324.31,4.7619,16.2155,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8.00,23.2880,489.0480,1/27/2019,20:33,Ewallet,465.76,4.7619,23.2880,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7.00,30.2085,634.3785,02-08-19,10:37,Ewallet,604.17,4.7619,30.2085,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7.00,29.8865,627.6165,3/25/2019,18:30,Ewallet,597.73,4.7619,29.8865,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6.00,20.6520,433.6920,2/25/2019,14:36,Ewallet,413.04,4.7619,20.6520,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10.00,36.7800,772.3800,2/24/2019,11:38,Ewallet,735.60,4.7619,36.7800,8.0
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2.00,3.6260,76.1460,01-10-19,17:15,Credit card,72.52,4.7619,3.6260,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3.00,8.2260,172.7460,2/20/2019,13:27,Credit card,164.52,4.7619,8.2260,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4.00,2.8960,60.8160,02-06-19,18:07,Ewallet,57.92,4.7619,2.8960,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4.00,5.1020,107.1420,03-09-19,17:03,Cash,102.04,4.7619,5.1020,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5.00,11.7375,246.4875,02-12-19,10:25,Ewallet,234.75,4.7619,11.7375,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10.00,21.5950,453.4950,02-07-19,16:48,Ewallet,431.90,4.7619,21.5950,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10.00,35.6900,749.4900,3/29/2019,19:21,Cash,713.80,4.7619,35.6900,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6.00,28.1160,590.4360,1/15/2019,16:19,Cash,562.32,4.7619,28.1160,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7.00,24.1255,506.6355,03-11-19,11:03,Credit card,482.51,4.7619,24.1255,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6.00,21.7830,457.4430,01-01-19,10:39,Credit card,435.66,4.7619,21.7830,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3.00,8.2005,172.2105,1/21/2019,18:00,Credit card,164.01,4.7619,8.2005,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.30,2.00,4.0300,84.6300,03-11-19,15:30,Ewallet,80.60,4.7619,4.0300,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5.00,21.5100,451.7100,2/25/2019,11:24,Ewallet,430.20,4.7619,21.5100,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3.00,13.1970,277.1370,03-05-19,10:40,Ewallet,263.94,4.7619,13.1970,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.20,2.00,3.3200,69.7200,3/15/2019,12:20,Credit card,66.40,4.7619,3.3200,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5.00,8.6400,181.4400,2/17/2019,11:15,Ewallet,172.80,4.7619,8.6400,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3.00,13.2945,279.1845,03-02-19,17:36,Ewallet,265.89,4.7619,13.2945,6.0
